ts,D,R,P_gas,tau,P,R_share
1,59933.74770367061,25996.175395861716,27.40735943249023,30.01038049247501,12.9840670096168,0.433748537208021
2,53124.78261546328,16107.722188998798,20.68692687289296,30.011293172370642,11.640208667671253,0.3032054230808325
3,55330.65021716583,19559.053983566904,20.16491452803978,30.021760613468807,11.538423058975159,0.35349402016423237
4,54891.79827247962,14864.92752955567,10.118578308925926,30.018867134003358,9.528432445286025,0.27080416377993405
5,56031.5408048732,16942.990253824857,19.037174201263195,30.026351152260958,11.314022628317879,0.30238308656954305
6,56321.96247050101,17477.221894848157,9.272378460732629,30.007648068559984,9.356387709286523,0.31030917830681
7,54359.50661611228,21321.416281592356,28.369565683351276,30.008612346999605,13.176066223420158,0.3922297608799974
8,53035.084335926236,18779.640535865812,22.270200172035803,30.008343140111304,11.956125819434988,0.3540984382510803
9,54887.69702747228,24002.18765999933,19.657981865221803,30.00627860937861,11.433166025389013,0.4372963152013065
10,54527.56407617521,17050.533783662748,14.036688631357443,29.992504167003652,10.305463768022403,0.3126956810291963
11,59068.65392148496,18563.51032268284,23.92430947196097,30.001353514004787,12.285200272893391,0.3142700754169507
12,57644.97964358948,22579.28956184531,15.57933616942999,29.990238840112237,10.613426943914057,0.3916956810714441
13,52013.67360164898,17329.416232385192,19.850663979135426,29.98779583469637,11.467081754501178,0.33317039602132237
14,57771.94559490259,20246.943500312933,18.56994890381926,29.992163379069012,11.212030625531105,0.35046324460465095
15,48154.1392938514,16105.61847652407,27.180912664521458,29.9850372995857,12.932441857800717,0.3344596895033804
16,52199.00078637831,16944.148853532795,27.5872408694456,29.985460479438334,13.013813293748704,0.32460676637998953
17,54266.18652325678,19442.44875560766,25.338862311331592,29.986703370410414,12.564448304868922,0.3582792527216785
18,53517.908717808576,18827.14774886834,23.43172671799566,29.97559836698593,12.180244935345614,0.35179154417525726
19,54024.77215393973,18326.60552037204,17.663191639530318,29.98533450290496,11.028971953632304,0.33922596597264093
20,51279.54222778756,16238.22819415108,24.58458259667382,30.002920479433357,12.417646639193103,0.31666094291598107
21,56636.41303096996,16198.090494669214,24.438184400730158,30.01054276702202,12.390272571901537,0.28600134838715446
22,56386.13097154011,19840.51608326229,16.412007709781648,30.02463949349305,10.788561415329593,0.351868726252497
23,54548.221193112295,19556.50570139344,18.297492914441623,30.03348251496523,11.167869211629633,0.3585177531666753
24,64418.21328096715,19773.54851387262,24.19778780943249,30.02954156775463,12.346942953825156,0.3069558670872802
25,54641.07985944777,17684.627423430222,19.471769508855417,30.032640677701853,11.402514071196546,0.3236507673149956
26,57848.7697566397,19581.15992890671,18.596037568519122,30.02089894095907,11.224432248943593,0.3384887874242001
27,53432.98196546968,14956.810182371422,18.218405311338728,30.014347673376705,11.147267980611922,0.2799171903233298
28,56812.96302526991,23778.712991224776,24.054917992415955,30.011378767915478,12.31382829046206,0.4185437922089755
29,49904.29982132166,15974.915134335493,25.899891421537063,29.995421697540323,12.678833708692494,0.32011099627752304
30,55537.17983250543,19839.050744721044,17.110177238954993,29.9940509956656,10.920548196707399,0.35722106892272226
31,64561.901450848294,17202.93650461269,24.72443523891845,29.98690490270884,12.4416132734609,0.2664564722851213
32,57107.228351042344,15925.41958440691,15.421654236027694,29.994641106458083,10.58299112382006,0.27886871844860306
33,56025.76657122257,23857.672599312624,13.985301816335024,30.004019310344464,10.298065190853121,0.4258339342663636
34,56820.3677878961,26167.304073825333,19.68620832016825,30.004143914336638,11.438277642617809,0.4605268338196062
35,56830.77144360713,21669.10515638988,19.24518030624366,29.99441275840332,11.347639250849562,0.38129176511165286
36,53224.62909026826,17185.14454090178,20.652624605318614,29.997065390583366,11.629791268709564,0.32287955472185637
37,56222.859980516965,19592.52376368534,15.007323111805006,29.992672433617862,10.499632730765466,0.3484796712667193
38,54022.38354370071,18763.57391396828,13.89700818080737,29.995281808440772,10.278222088271667,0.3473296193750824
39,46835.557843687355,16542.82514549034,22.13372457244319,29.99990995492263,11.926722403219294,0.3532108062148348
40,52657.97848614484,25736.758008191595,18.72040857380711,29.992617913154717,11.2422361930501,0.48875324780960494
41,51817.93596440836,21792.51980732936,12.786735609592403,29.99164617438566,10.055258665514895,0.4205593951541752
42,52515.772147883305,19197.29845905706,7.530953999265632,29.978459570176284,9.000805692397197,0.36555300767544413
43,53955.41466918234,23136.09633913381,17.71369310446956,29.989523255764464,11.040119434835027,0.4288002692776714
44,56497.33066616349,23074.682746665887,14.824557077270635,29.992927578471672,10.463143310072045,0.4084207603189547
45,52579.78550638467,16760.73538366243,21.026808072560105,29.993599411712427,11.703761467440128,0.31876766369895526
46,52984.020724647264,23276.251252561244,18.78322525036574,30.006934742694945,11.258378735746884,0.43930700113390087
47,51718.14819653602,18139.33868431717,18.01856367994624,29.989031021628094,11.100970491396271,0.35073449682276336
48,51779.13723121487,22905.06747374816,21.286372317099715,29.961292111088433,11.747597491192051,0.44236093335174237
49,55601.98986827271,21768.015902087784,11.034234015938809,29.960033061409618,9.696855068540167,0.39149706608807766
50,55959.17587870836,20849.27356210067,23.040563737379372,29.94372689540308,12.094044471326644,0.37258006814273886
51,52574.181340014125,18567.502620866402,11.960201041584531,29.953247946708004,9.880352194993907,0.3531676984332746
52,55574.06379196189,21583.545069309526,21.68083841251457,29.96546300388041,11.827533433473016,0.38837442498547897
53,56492.784860454645,20511.568189416044,25.470408288475003,29.976592984695333,12.588229903868834,0.3630829713932954
54,54723.96649063796,15784.500647325012,27.207426634474725,29.97917509451872,12.936279100524626,0.2884385335998147
55,57718.56359248777,17616.390879942926,17.760479016661535,29.991182420066856,11.049891408349021,0.305211872636341
56,63025.59407604325,27440.61401942123,17.573056668366945,29.97854578800218,11.009247780673935,0.43538842309543135
57,56114.73973767006,23275.017251659086,19.665921864353468,29.989764397771765,11.430625472313634,0.4147754647079735
58,51409.3946367892,13696.588741993955,11.714557904014882,29.990284955830056,9.84048281976049,0.2664219028207056
59,56946.92964481742,21747.40312499048,14.714445060717997,29.99847271651296,10.44250719127184,0.38188894924855094
60,53847.52228784173,12771.92060650569,22.633639363670802,30.010031131491015,12.029235655606914,0.23718678341843538
61,48791.103280869276,18322.831075888393,14.879863459413214,30.015120328421848,10.479752773988105,0.3755363138728751
62,54952.071537117685,18056.362991752714,16.800037231664046,29.997090778288566,10.85928014090495,0.32858384564367954
63,56155.07060710923,19196.564754525407,26.365470070775295,30.01119266565766,12.775892180569475,0.34184917847997726
64,54304.41075713892,21581.110340416126,26.25924056721356,30.03777011488591,12.76129064216419,0.39740989800868154
65,53713.158431223914,14950.22313257963,9.927617771721673,30.04748686134372,9.497395269680265,0.27833446345782076
66,51998.78272444033,21752.756820354996,11.49467965939797,30.05101124788292,9.811688743850324,0.4183320393408137
67,58391.42110592974,25189.468632564316,16.76364854783143,30.04370133347692,10.863655042935516,0.4313898883684865
68,52906.30822942786,17926.211896873174,28.43267038774761,30.049735187919,13.198967874529274,0.33882938531897316
69,53097.507358644056,17591.625966684842,21.439540295668174,30.0596232490522,11.802813871396685,0.33130794347582493
70,55969.36664924614,14659.16525610871,22.285778055035518,30.060803330750247,11.972356443694665,0.2619140814648857
71,54603.0057565722,22344.498570761374,17.868502064399635,30.03334465637488,11.082036576973646,0.40921737294786037
72,54178.99708516765,22417.797439545877,12.390196211889933,30.040853058678874,9.988252507047704,0.4137728390266401
73,53008.69962390293,15828.145029444451,21.93496905917585,30.034555508327127,11.895632688916951,0.2985952332682228
74,52893.30509774096,13012.959643281447,24.177113206446535,30.020896381765525,12.340646736730688,0.2460228117572714
75,56771.60227120271,18733.561905635408,21.398829127996617,30.0099110792933,11.78224359542265,0.3299812081424725
76,61740.01312462431,21718.031020450533,24.625814612668204,30.00090709918189,12.425389697329113,0.3517658957508148
77,54438.23414854974,20425.4269117551,12.24504675340257,29.99115960402294,9.94679925168625,0.3752037006934995
78,59342.4146456937,21357.604856245252,23.767985122459343,30.003708052972755,12.254524037735058,0.35990454692081036
79,52931.787451183896,15893.723230306658,23.93844423111235,30.00758580074235,12.289585296408058,0.3002680241048835
80,59281.26187521688,19980.58011820804,24.551251529601153,30.006019017360604,12.411755060260383,0.33704714586315376
81,56924.98950037801,21638.82198786018,23.561064188836852,29.99124888729023,12.210025059589928,0.3801286952844583
82,55517.55309436271,20992.77609640764,18.0130423447247,29.98710996852929,11.099385961077262,0.3781286264674958
83,53827.04487683338,19278.126176728198,17.720340377419223,29.98188735924565,11.039539915295258,0.3581494436642445
84,54985.71441520711,22472.163036523718,16.85801863405301,29.987665649157094,10.868520139099875,0.4086909350096342
85,50288.238862692764,14406.76822680414,23.084086748935405,30.000143668390212,12.116853266884634,0.2864838489600013
86,50947.030906219916,18205.1706292351,22.219124835664914,29.9961526800003,11.942863137133058,0.35733526184766357
87,54762.61153056327,19612.135542414308,23.775343599576605,29.994863830866777,12.253784677632016,0.35813002693395446
88,56075.88468611166,17345.01346159536,13.568227606468618,29.992392174079317,10.211743564813553,0.30931323792188353
89,56715.5920481017,22010.61154887908,16.067451161275997,29.992242820724123,10.71155093743623,0.38808748624560613
90,53832.88888873704,19179.799984732595,23.29150645303627,29.981602671610045,12.153701958509766,0.35628405572611593
